#exchange reactions
R001ex	1 C00001[e] <->
R01041[c]	1 C00116[c] + 1 C00006[c] <-> 1 C00577[c] + 1 C00005[c] + 1 C00080[c]
R01034[c]	1 C00116[c] + 1 C00003[c] <-> 1 C00184[c] + 1 C00004[c] + 1 C00080[c]
R01011[c]	1 C00002[c] + 1 C00184[c] -> 1 C00008[c] + 1 C00111[c]
R00847[c]	1 C00002[c] + 1 C00116[c] -> 1 C00008[c] + 1 C00093[c]
R09419[c]	1 C00264[c] + 1 C00010[c] + 1 C00011[c] -> 1 C00083[c] + 1 C00024[c] 
R00851[c]	1 C00093[c] + 1 C00024[c] -> 1 C00681[c] + 1 C00010[c]
R02241[c]	1 C00681[c] + 1 C00024[c] -> 1 C00416[c] + 1 C00010[c] 
R02239[c]	1 C00416[c] + 1 C00001[c] <-> 1 C00641[c] + 1 C00009[c]
R05333[c]	1 C00865[c] + 1 C00641[c] <-> 1 C06254[c] + 1 C00422[c]
R04470[c]	1 C06037[c] + 1 C00001[c] <-> 1 C03692[c] + 1 C00124[c]
R04471[c]	1 C03692[c] + 2 C00001[c] <-> 1 C05401[c] + 2 C00162[c]
#Glycerophospholipid synthesis
R03756[c]	1 C00605[c] + 1 C01885[c] <-> 1 C00010[c] + 1 C00641[c]
R00538[c]	1 C00071[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C00060[c] + 1 C00004[c] + 1 C00080[c]
R00841[c]	1 C00093[c] + 1 C00001[c] -> 1 C00116[c] + 1 C00009[c]
R00848[c]	1 C00093[c] + 1 C00016[c] -> 1 C00111[c] + 1 C01352[c]
R01021[c]	1 C00002[c] + 1 C00114[c] -> 1 C00008[c] + 1 C00588[c]
R01310[c]	1 C00157[c] + 1 C00001[c] <-> 1 C00416[c] + 1 C00114[c]
R01320[c]	1 C00019[c] + 1 C04308[c] -> 1 C00021[c] + 1 C00157[c]
R01799[c]	1 C00063[c] + 1 C00416[c] -> 1 C00013[c] + 1 C00269[c]
R01801[c]	1 C00269[c] + 1 C00093[c] <-> 1 C00055[c] + 1 C03892[c]
R01802[c]	1 C00269[c] + 1 C00137[c] <-> 1 C00055[c] + 1 C01194[c]
R01890[c]	1 C00063[c] + 1 C00588[c] <-> 1 C00080[c] + 1 C00013[c] + 1 C00307[c]
R02055[c]	1 C02737[c] <-> 1 C00350[c] + 1 C00011[c]
R02056[c]	1 C00019[c] + 1 C00350[c] <-> 1 C00021[c] + 1 C01241[c]
R02746[c]	1 C04230[c] + 1 C00001[c] -> 1 C00670[c] + 1 C00162[c]
R02747[c]	1 C04233[c] + 1 C00001[c] <-> 1 C00670[c] + 1 C00162[c]
R02756[c]	1 C00681[c] + 1 C00006[c] <-> 1 C03372[c] + 1 C00005[c] + 1 C00080[c]
