#exchange reactions
R001ex	1 C00001[e] <->
R00987[c]	1 C00328[c] + 1 C00001[c] -> 1 C00108[c] + 1 C00041[c]
R01960[c]	1 C00328[c] + 1 C00007[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C03227[c] + 1 C00006[c] + 1 C00001[c]
R02665[c]	1 C00632[c] + 1 C00007[c] <-> 1 C04409[c]
R02668[c]	1 C03227[c] + 1 C00001[c] <-> 1 C00632[c] + 1 C00041[c]
R02670[c]	2 C00632[c] + 4 C00007[c] <-> 1 C05640[c] + 2 C00704[c] + 2 C00027[c] + 2 C00080[c]
R03936[c]	1 C02700[c] + 1 C00001[c] <-> 1 C05653[c] + 1 C00041[c]
R04323[c]	1 C04409[c] <-> 1 C03824[c] + 1 C00011[c]
#Tyrosine metabolism
R01395[c]	1 C00002[c] + 1 C01563[c] -> 1 C00008[c] + 1 C00169[c]
R02535[c]	1 C03758[c] + 1 C00072[c] + 1 C00007[c] -> 1 C00547[c] + 1 C05422[c] + 1 C00001[c]
R04892[c]	1 C05583[c] + 1 C00006[c] + 1 C00001[c] -> 1 C05584[c] + 1 C00005[c] + 1 C00080[c]
R04894[c]	1 C05588[c] + 1 C00001[c] + 1 C00007[c] -> 1 C05583[c] + 1 C00027[c] + 1 C00218[c]
R04893[c]	1 C05589[c] + 1 C00001[c] + 1 C00007[c] -> 1 C05583[c] + 1 C00014[c] + 1 C00027[c]
R04891[c]	1 C05583[c] + 1 C00003[c] + 1 C00001[c] -> 1 C05584[c] + 1 C00004[c] + 1 C00080[c]
R04882[c]	1 C05577[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C05580[c] + 1 C00004[c] + 1 C00080[c]
R02533[c]	1 C00019[c] + 1 C00547[c] <-> 1 C00021[c] + 1 C00788[c]
R00736[c]	1 C00082[c] <-> 1 C00483[c] + 1 C00011[c]
R01085[c]	1 C02514[c] + 1 C00001[c] -> 1 C00122[c] + 1 C00022[c]
R01364[c]	1 C01061[c] + 1 C00001[c] -> 1 C00164[c] + 1 C00122[c]
R02080[c]	1 C00355[c] <-> 1 C03758[c] + 1 C00011[c]
R02382[c]	1 C00483[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C03765[c] + 1 C00014[c] + 1 C00027[c]
R02519[c]	1 C00544[c] + 1 C00007[c] <-> 1 C01036[c]
R02534[c]	1 C00019[c] + 1 C00547[c] <-> 1 C00021[c] + 1 C05589[c]
R02920[c]	1 C00019[c] + 1 C00788[c] <-> 1 C00021[c] + 1 C05588[c]
R03181[c]	1 C01036[c] <-> 1 C01061[c]
R03304[c]	1 C00019[c] + 1 C01161[c] <-> 1 C00021[c] + 1 C05582[c]
R03868[c]	1 C02167[c] <-> 1 C02514[c]
R04300[c]	1 C03758[c] + 1 C00001[c] + 1 C00007[c] -> 1 C04043[c] + 1 C00014[c] + 1 C00027[c]
R04301[c]	1 C00019[c] + 1 C03758[c] <-> 1 C00021[c] + 1 C05587[c]
R04880[c]	1 C05576[c] + 1 C00003[c] <-> 1 C05577[c] + 1 C00004[c] + 1 C00080[c]
R04881[c]	1 C00019[c] + 1 C05576[c] <-> 1 C00021[c] + 1 C05594[c]
R04887[c]	1 C00019[c] + 1 C05580[c] <-> 1 C00021[c] + 1 C05584[c]
R02521[c]	1 C01179[c] + 1 C00007[c] -> 1 C00544[c] + 1 C00011[c]
R03302[c]	1 C04043[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C01161[c] + 1 C00005[c] + 1 C00080[c]
R04888[c]	1 C05581[c] + 1 C00003[c] + 1 C00001[c] -> 1 C05582[c] + 1 C00004[c] + 1 C00080[c]
R04889[c]	1 C05581[c] + 1 C00006[c] + 1 C00001[c] -> 1 C05582[c] + 1 C00005[c] + 1 C00080[c]
R04890[c]	1 C05587[c] + 1 C00001[c] + 1 C00007[c] -> 1 C05581[c] + 1 C00027[c] + 1 C00014[c]
#Eumelanin synthesis
R02078[c]	1 C00082[c] + 1 C00007[c] -> 1 C00822[c] + 1 C00001[c]
R00731[c]	1 C00082[c] + 1 C00007[c] -> 1 C00355[c] + 1 C00001[c]
R00045[e]	1 C00007[e] + 2 C00355[e] -> 2 C00822[e] + 2 C00001[e]
R02962[e]	1 C00822[e] -> 1 C05604[e]
R03672[e]	1 C05604[e] + 1 C00822[e] -> 1 C01693[e] + 1 C00355[e]
R03674[e]	1 C01693[e] -> 1 C05578[e] + 1 C00011[e]
R04884[e]	2 C05578[e] + 1 C00007[e] -> 2 C05579[e] + 2 C00001[e]
R04886[e]	1 C05579[e] + 1 C00007[e] -> 1 C17937Eu[e] + 1 C00001[e]
#Pyomelanin synthesis
R902[c]	1 C00544[c] + 0.5 C00007[c] -> 1 X00002[c] + 1 C00001[c]
R903[e]	1 X00002[e] -> 1 C17937Pyo[e] + 1 C00001[e]
#Pentose and glucuronate interconversion
R01526[c]	1 C00002[c] + 1 C00309[c] <-> 1 C00008[c] + 1 C00199[c]
R01542[c]	1 C00204[c] + 1 C00003[c] <-> 1 C04349[c] + 1 C00004[c] + 1 C00080[c]
R01896[c]	1 C00379[c] + 1 C00003[c] <-> 1 C00310[c] + 1 C00004[c] + 1 C00080[c]
#Fructose and mannose metabolism
R00875[c]	1 C00794[c] + 1 C00003[c] <-> 1 C00095[c] + 1 C00004[c] + 1 C00080[c]
R01818[c]	1 C00275[c] <-> 1 C00636[c]
R00877[c]	1 C00096[c] -> 1 C00095[c]
R01819[c]	1 C00275[c] <-> 1 C05345[c]
R02262[c]	1 C01099[c] <-> 1 C00111[c] + 1 C00424[c]
R09030[c]	1 C02962[c] <-> 1 C18096[c]
R00887[c]	1 C00096[c] <-> 1 C00035[c] + 1 C00464[c]
R00885[c]	1 C00636[c] + 1 C00044[c] -> 1 C00013[c] + 1 C00096[c] 
#Heme Synthesis
R03165[c]	1 C01024[c] <-> 1 C01051[c] + 1 C00001[c]
R04972[c]	1 C05766[c] <-> 1 C05768[c] + 4 C00011[c]
R03222[c]	1 C01079[c] + 3 C00007[c] <-> 1 C02191[c] + 3 C00027[c]
R00830[c]	1 C00091[c] + 1 C00037[c] -> 1 C00430[c] + 1 C00010[c] + 1 C00011[c]
R03220[c]	1 C03263[c] + 1 C00007[c] <-> 1 C01079[c] + 2 C00011[c] + 2 C00001[c]
R00084[c]	4 C00931[c] + 1 C00001[c] <-> 1 C01024[c] + 4 C00014[c]
R00036[c]	2 C00430[c] <-> 1 C00931[c] + 2 C00001[c]
R01123[c]	1 C00129[c] -> 1 C00235[c]
R02480[c]	1 C00524[c] <-> 1 C02248[c] + 1 C00032[c]
R01658[c]	1 C00235[c] + 1 C00129[c] -> 1 C00013[c] + 1 C00341[c]
R02003[c]	1 C00341[c] + 1 C00129[c] -> 1 C00013[c] + 1 C00448[c]
R07411[c]	1 C00032[c] + 1 C00001[c] + 1 C00448[c] -> 1 C15672[c] + 1 C00013[c]
R07412[c]	1 C15672[c] <-> 1 C15670[c]
#Riboflavin metabolism
R09376[c]	1 C01304[c] + 1 C00005[c] + 1 C00080[c] -> 1 C18910[c] + 1 C00006[c]
R00160[c]	1 C00016[c] + 1 C00001[c] <-> 1 C00020[c] + 1 C00061[c]
R00548[c]	1 C00061[c] + 1 C00001[c] -> 1 C00255[c] + 1 C00009[c]
R00549[c]	1 C00002[c] + 1 C00255[c] -> 1 C00008[c] + 1 C00061[c]
R00066[c]	2 C04332[c] -> 1 C00255[c] + 1 C04732[c]
R04457[c]	1 C04732[c] + 1 C15556[c] <-> 1 C04332[c] + 2 C00001[c] + 1 C00009[c]
R07281[c]	1 C00199[c] -> 1 C15556[c] + 1 C00058[c]
R00425[c]	1 C00044[c] + 3 C00001[c] <-> 1 C00058[c] + 1 C01304[c] + 1 C00013[c]
R03459[c]	1 C01304[c] + 1 C00001[c] <-> 1 C01268[c] + 1 C00014[c]
R03458[c]	1 C04454[c] + 1 C00006[c] <-> 1 C01268[c] + 1 C00005[c] + 1 C00080[c]
R07280[c]	1 C04454[c] + 1 C00001[c] <-> 1 C04732[c] + 1 C00009[c]
#Galactose Metabolism
R00291[c]	1 C00029[c] <-> 1 C00052[c]
R00801[c]	1 C00089[c] + 1 C00001[c] -> 1 C00095[c] + 1 C00031[c]
R01069[c]	1 C03785[c] <-> 1 C00111[c] + 1 C00118[c]
R03236[c]	1 C01097[c] + 1 C00002[c] -> 1 C03785[c] + 1 C00008[c]
R03237[c]	1 C00063[c] + 1 C01097[c] -> 1 C00112[c] + 1 C03785[c]
R03238[c]	1 C00075[c] + 1 C01097[c] -> 1 C00015[c] + 1 C03785[c]
R03418[c]	1 C01235[c] + 1 C00492[c] <-> 1 C00137[c] + 1 C01613[c]
R05168[c]	1 C06376[c] + 1 C00001[c] <-> 1 C06377[c] + 1 C00033[c]
#Fatty acid biosynthesis
R04964[im]	1 C05757[im] + 1 C00006[im] <-> 1 C05756[im] + 1 C00005[im] + 1 C00080[im]
R01175[im]	1 C00136[im] + 1 C00016[im] <-> 1 C01352[im] + 1 C00877[im]
R04751[im]	1 C05270[im] + 1 C00016[im] -> 1 C05271[im] + 1 C01352[im]
R04754[im]	1 C05274[im] + 1 C00016[im] -> 1 C05275[im] + 1 C01352[im]
R03777[im]	1 C01944[im] + 1 C00016[im] -> 1 C05276[im] + 1 C01352[im]
R03990[im]	1 C02593[im] + 1 C00016[im] -> 1 C05273[im] + 1 C01352[im]
R01279[im]	1 C00154[im] + 1 C00016[im] -> 1 C05272[im] + 1 C01352[im]
R01280[im]	1 C00002[im] + 1 C00249[im] + 1 C00010[im] <-> 1 C00020[im] + 1 C00154[im] + 1 C00013[im]
R01624[im]	1 C00024[im] + 1 C00229[im] <-> 1 C00010[im] + 1 C03939[im]
R01626[im]	1 C00083[im] + 1 C00229[im] <-> 1 C00010[im] + 1 C01209[im]
R04965[im]	1 C05757[im] <-> 1 C05758[im] + 1 C00001[im]
R04967[im]	1 C05761[im] + 1 C00006[im] <-> 1 C05760[im] + 1 C00005[im] + 1 C00080[im]
R04968[im]	1 C05761[im] + 1 C01209[im] <-> 1 C05762[im] + 1 C00011[im] + 1 C00229[im]
R04970[im]	1 C05764[im] + 1 C00006[im] <-> 1 C05763[im] + 1 C00005[im] + 1 C00080[im]
R04953[im]	1 C05747[im] + 1 C00006[im] <-> 1 C05746[im] + 1 C00005[im] + 1 C00080[im]
R04954[im]	1 C05747[im] <-> 1 C05748[im] + 1 C00001[im]
R04956[im]	1 C05749[im] + 1 C00006[im] <-> 1 C05748[im] + 1 C00005[im] + 1 C00080[im]
R04957[im]	1 C05749[im] + 1 C01209[im] <-> 1 C05750[im] + 1 C00011[im] + 1 C00229[im]
R04959[im]	1 C05752[im] + 1 C00006[im] <-> 1 C05751[im] + 1 C00005[im] + 1 C00080[im]
R04960[im]	1 C05752[im] + 1 C01209[im] <-> 1 C05753[im] + 1 C00011[im] + 1 C00229[im]
R04962[im]	1 C05755[im] + 1 C00006[im] <-> 1 C05754[im] + 1 C00005[im] + 1 C00080[im]
R04963[im]	1 C05755[im] + 1 C01209[im] <-> 1 C05756[im] + 1 C00011[im] + 1 C00229[im]
R04725[im]	1 C05223[im] + 1 C00006[im] <-> 1 C05758[im] + 1 C00005[im] + 1 C00080[im]
R04726[im]	1 C05223[im] + 1 C01209[im] <-> 1 C05759[im] + 1 C00011[im] + 1 C00229[im]
R04952[im]	1 C05745[im] + 1 C01209[im] <-> 1 C05746[im] + 1 C00011[im] + 1 C00229[im]
R04428[im]	1 C04618[im] <-> 1 C04246[im] + 1 C00001[im]
R04430[im]	1 C05745[im] + 1 C00006[im] <-> 1 C04246[im] + 1 C00005[im] + 1 C00080[im]
R04533[im]	1 C04618[im] + 1 C00006[im] <-> 1 C05744[im] + 1 C00005[im] + 1 C00080[im]
R04534[im]	1 C04619[im] + 1 C00006[im] <-> 1 C00080[im] + 1 C05753[im] + 1 C00005[im]
R04535[im]	1 C04619[im] <-> 1 C05754[im] + 1 C00001[im]
R04536[im]	1 C04620[im] + 1 C00006[im] <-> 1 C05750[im] + 1 C00005[im] + 1 C00080[im]
R04537[im]	1 C04620[im] <-> 1 C05751[im] + 1 C00001[im]
R04543[im]	1 C04633[im] + 1 C00006[im] <-> 1 C05762[im] + 1 C00005[im] + 1 C00080[im]
R04544[im]	1 C04633[im] <-> 1 C05763[im] + 1 C00001[im]
R04566[im]	1 C04688[im] + 1 C00006[im] <-> 1 C05759[im] + 1 C00005[im] + 1 C00080[im]
R04568[im]	1 C04688[im] <-> 1 C05760[im] + 1 C00001[im]
R04355[im]	1 C03939[im] + 1 C01209[im] <-> 1 C05744[im] + 1 C00011[im] + 1 C00229[im]
R00742[im]	1 C00002[im] + 1 C00024[im] + 1 C00288[im] <-> 1 C00008[im] + 1 C00009[im] + 1 C00083[im]
R01706[im]	1 C05764[im] + 1 C00001[im] <-> 1 C00229[im] + 1 C00249[im]
R07762[im]	1 C05764[im] + 1 C01209[im] <-> 1 C16219[im] + 1 C00229[im] + 1 C00011[im]
R07763[im]	1 C16219[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C16220[im] + 1 C00006[im]
R07764[im]	1 C16220[im] <-> 1 C16221[im] + 1 C00001[im]
R07765[im]	1 C16221[im] + 1 C00004[im] + 1 C00080[im] <-> 1 C04088[im] + 1 C00003[im]
R03370[im]	1 C04088[im] + 2 C00138[im] + 1 C00007[im] + 2 C00080[im] <-> 1 C01203[im] + 2 C00139[im] + 2 C00001[im]
R08163[im]	1 C04088[im] + 1 C00001[im] <-> 1 C00229[im] + 1 C01530[im]
R02814[im]	1 C01203[im] + 1 C00001[im] <-> 1 C00229[im] + 1 C00712[im]
#Fatty acid elongation
R02685[c]	1 C00640[c] <-> 1 C00658[c] + 1 C00001[c]
R04170[c]	1 C05262[c] <-> 1 C03221[c] + 1 C00001[c]
R04738[c]	1 C05258[c] <-> 1 C05272[c] + 1 C00001[c]
R04740[c]	1 C05260[c] <-> 1 C05273[c] + 1 C00001[c]
R04744[c]	1 C05264[c] <-> 1 C05275[c] + 1 C00001[c]
R04746[c]	1 C05266[c] <-> 1 C05276[c] + 1 C00001[c]
R04749[c]	1 C05268[c] <-> 1 C05271[c] + 1 C00001[c]
R10825[c]	1 C20876[c] + 1 C00083[c] <-> 1 C20877[c] + 1 C00011[c] + 1 C00010[c]
R10826[c]	1 C20878[c] + 1 C00006[c] <-> 1 C20877[c] + 1 C00005[c] + 1 C00080[c]
R10827[c]	1 C20878[c] <-> 1 C20879[c] + 1 C00001[c]
R00391[im]	2 C00024[im] <-> 1 C00010[im] + 1 C00264[im]
R01177[im]	1 C00010[im] + 1 C05269[im] -> 1 C00024[im] + 1 C00136[im]
R01274[im]	1 C00154[im] + 1 C00001[im] -> 1 C00010[im] + 1 C00249[im]
R03778[im]	1 C01944[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C05265[im]
R03858[im]	1 C01832[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C05261[im]
R03991[im]	1 C02593[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C05259[im]
R04742[im]	1 C05274[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C05263[im]
R04747[im]	1 C05270[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C05267[im]
R09450[im]	1 C02843[im] + 1 C00001[im] <-> 1 C00638[im] + 1 C00010[im]
R04748[im]	1 C05268[im] + 1 C00003[im] <-> 1 C05269[im] + 1 C00004[im] + 1 C00080[im]
R04745[im]	1 C05266[im] + 1 C00003[im] <-> 1 C05267[im] + 1 C00004[im] + 1 C00080[im]
R04743[im]	1 C05264[im] + 1 C00003[im] <-> 1 C05265[im] + 1 C00004[im] + 1 C00080[im]
R04741[im]	1 C05262[im] + 1 C00003[im] <-> 1 C05263[im] + 1 C00004[im] + 1 C00080[im]
R04749[im]	1 C05268[im] <-> 1 C05271[im] + 1 C00001[im]
R04746[im]	1 C05266[im] <-> 1 C05276[im] + 1 C00001[im]
R04744[im]	1 C05264[im] <-> 1 C05275[im] + 1 C00001[im]
R04170[im]	1 C05262[im] <-> 1 C03221[im] + 1 C00001[im]
R04740[im]	1 C05260[im] <-> 1 C05273[im] + 1 C00001[im]
R04738[im]	1 C05258[im] <-> 1 C05272[im] + 1 C00001[im]
R06985[im]	1 C05271[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C05270[im] + 1 C00006[im]
R03776[im]	1 C01944[im] + 1 C00006[im] <-> 1 C05276[im] + 1 C00005[im] + 1 C00080[im]
R04753[im]	1 C05274[im] + 1 C00006[im] <-> 1 C05275[im] + 1 C00005[im] + 1 C00080[im]
R03856[im]	1 C01832[im] + 1 C00006[im] <-> 1 C03221[im] + 1 C00005[im] + 1 C00080[im]
R03989[im]	1 C02593[im] + 1 C00006[im] <-> 1 C05273[im] + 1 C00005[im] + 1 C00080[im]
R01278[im]	1 C00154[im] + 1 C00006[im] <-> 1 C05272[im] + 1 C00005[im] + 1 C00080[im]
#Fatty acid degredation
R00623[c]	1 C00226[c] + 1 C00003[c] <-> 1 C00071[c] + 1 C00004[c] + 1 C00080[c] 
R04756[c]	1 C05280[c] <-> 1 C05279[c]
R00238[im]	2 C00024[im] <- 1 C00010[im] + 1 C00332[im]
R04121[im]	3 C00080[im] + 1 C03024[im] + 1 C00162[im] + 1 C00007[im] <-> 1 C05102[im] + 1 C03161[im] + 1 C00001[im]
R04756[im]	1 C05280[im] <-> 1 C05279[im]
R04737[im]	1 C05258[im] + 1 C00003[im] <-> 1 C05259[im] + 1 C00004[im] + 1 C00080[im]
R04739[im]	1 C05260[im] + 1 C00003[im] <-> 1 C05261[im] + 1 C00004[im]
R01975[im]	1 C01144[im] + 1 C00003[im] <-> 1 C00332[im] + 1 C00004[im] + 1 C00080[im]
#fixed this reaction direction after having fixed the use of generic acceptors (C00028/C00030)
R03857[im]	1 C01832[im] + 1 C00016[im] -> 1 C03221[im] + 1 C01352[im]
#Fatty acid metabolism
R02222[c]	1 C00412[c] + 2 C00999[c] + 1 C00007[c] + 2 C00080[c] <-> 1 C00510[c] + 2 C00996[c] + 2 C00001[c]
#Glyoxylate and dicarboxylate metabolism
R01221[c]	1 C00037[c] + 1 C00101[c] + 1 C00003[c] -> 1 C00143[c] + 1 C00014[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
R01745[c]	1 C01146[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00258[c] + 1 C00003[c]
R00009[c]	2 C00027[c] -> 1 C00007[c] + 2 C00001[c]
R00472[c]	1 C00024[c] + 1 C00001[c] + 1 C00048[c] -> 1 C00149[c] + 1 C00010[c]
R00519[c]	1 C00058[c] + 1 C00003[c] -> 1 C00080[c] + 1 C00011[c] + 1 C00004[c]
R01334[c]	1 C00988[c] + 1 C00001[c] -> 1 C00160[c] + 1 C00009[c]
R01747[c]	1 C01146[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00258[c] + 1 C00006[c]
#CoA biosynthesis
R00130[c]	1 C00002[c] + 1 C00882[c] -> 1 C00008[c] + 1 C00010[c] + 1 C00080[c]
R01209[c]	1 C04039[c] <-> 1 C00141[c] + 1 C00001[c]
R03051[c]	1 C00900[c] + 1 C00005[c] + 1 C00080[c] -> 1 C04039[c] + 1 C00006[c]
R00006[c]	2 C00022[c] -> 1 C00900[c] + 1 C00011[c] 
R00489[c]	1 C00049[c] -> 1 C00099[c] + 1 C00011[c]
R02472[c]	1 C00522[c] + 1 C00006[c] <-> 1 C00966[c] + 1 C00005[c] + 1 C00080[c]
R03036[c]	1 C00882[c] + 1 C00001[c] <-> 1 C01134[c] + 1 C00020[c]
R03269[c]	1 C04352[c] -> 1 C01134[c] + 1 C00011[c]
R04230[c]	1 C00002[c] + 1 C03492[c] + 1 C00097[c] -> 1 C00020[c] + 1 C00013[c] + 1 C04352[c]
R04231[c]	1 C00063[c] + 1 C03492[c] + 1 C00097[c] -> 1 C00055[c] + 1 C00013[c] + 1 C04352[c]
R02473[c]	1 C00002[c] + 1 C00522[c] + 1 C00099[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00864[c]
R01226[c]	1 C00143[c] + 1 C00141[c] + 1 C00001[c] -> 1 C00101[c] + 1 C00966[c]
#Nicotinate and nicotinamide mtabolism
R00103[c]	1 C00003[c] + 1 C00001[c] -> 1 C00020[c] + 1 C00455[c] + 1 C00080[c]
R03004[c]	1 C00857[c] + 1 C00001[c] -> 1 C00020[c] + 1 C01185[c]
R00137[c]	1 C00080[c] + 1 C00002[c] + 1 C00455[c] -> 1 C00013[c] + 1 C00003[c]
R01724[c]	1 C01185[c] + 1 C00013[c] + 1 C00008[c] + 1 C00009[c] <-> 1 C00253[c] + 1 C00119[c] + 1 C00002[c] + 1 C00001[c] + 1 C00080[c]
R03005[c]	1 C00002[c] + 1 C01185[c] -> 1 C00013[c] + 1 C00857[c]
R03348[c]	1 C01185[c] + 1 C00013[c] + 1 C00011[c] <-> 1 C00080[c] + 1 C03722[c] + 1 C00119[c]
#Pyruvate metabolism
R00196[c]	1 C00186[c] + 2 C00125[c] -> 1 C00022[c] + 2 C00126[c] + 2 C00080[c]
R00742[c]	1 C00002[c] + 1 C00024[c] + 1 C00288[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C00083[c]
R00236[c]	1 C05993[c] + 1 C00010[c] -> 1 C00020[c] + 1 C00024[c]
R00315[c]	1 C00002[c] + 1 C00033[c] -> 1 C00008[c] + 1 C00227[c]
R00316[c]	1 C00002[c] + 1 C00033[c] <-> 1 C00013[c] + 1 C05993[c]
R00320[c]	1 C00013[c] + 1 C00033[c] <-> 1 C00009[c] + 1 C00227[c]
R00343[c]	1 C00149[c] + 1 C00006[c] -> 1 C00036[c] + 1 C00005[c] + 1 C00080[c]
R00928[c]	1 C00024[c] + 1 C00163[c] <-> 1 C00033[c] + 1 C00100[c]
R01257[c]	1 C00149[c] + 1 C00016[c] <-> 1 C00036[c] + 1 C01352[c]
R01447[c]	1 C00186[c] + 1 C00036[c] <-> 1 C00149[c] + 1 C00022[c]
R01450[c]	1 C00186[c] <-> 1 C00256[c]
R01736[c]	1 C03451[c] + 1 C00001[c] -> 1 C00051[c] + 1 C00256[c]
R02530[c]	1 C03451[c] <-> 1 C00051[c] + 1 C00546[c]
R10866[c]	1 C00022[c] + 1 C00010[c] + 1 C02869[c] <-> 1 C00024[c] + 1 C00011[c] + 1 C02745[c]
R00197[im]	1 C00256[im] + 2 C00125[im] -> 1 C00022[im] + 2 C00126[im] + 2 C00080[im]
R00710[im]	1 C00084[im] + 1 C00003[im] + 1 C00001[im] <-> 1 C00033[im] + 1 C00004[im] + 1 C00080[im]
R00198[im]	1 C00256[im] + 2 C01070[im] <-> 1 C00022[im] + 2 C01071[im] + 2 C00080[im]
R00211[im]	1 C00022[im] + 1 C00010[im] + 1 C00007[im] <-> 1 C00027[im] + 1 C00024[im] + 1 C00011[im]
R00229[im]	1 C00002[im] + 1 C00033[im] + 1 C00010[im] -> 1 C00008[im] + 1 C00024[im] + 1 C00009[im]
R00236[im]	1 C05993[im] + 1 C00010[im] -> 1 C00020[im] + 1 C00024[im]
R00316[im]	1 C00002[im] + 1 C00033[im] <-> 1 C00013[im] + 1 C05993[im]
R00317[im]	1 C00227[im] + 1 C00001[im] -> 1 C00033[im] + 1 C00009[im]
R00319[im]	1 C00186[im] + 1 C00007[im] -> 1 C00033[im] + 1 C00011[im] + 1 C00001[im]
R00342[im]	1 C00149[im] + 1 C00003[im] <-> 1 C00036[im] + 1 C00004[im] + 1 C00080[im]
R00346[im]	1 C00013[im] + 1 C00036[im] <-> 1 C00009[im] + 1 C00074[im] + 1 C00011[im]
#Arginine biosynthesis
R00669[c]	1 C00437[c] + 1 C00001[c] -> 1 C00033[c] + 1 C00077[c]
R00774[c]	1 C00002[c] + 1 C00086[c] + 1 C00288[c] -> 1 C00008[c] + 1 C00009[c] + 1 C01010[c]
R00259[c]	1 C00024[c] + 1 C00025[c] -> 1 C00010[c] + 1 C00624[c]
R02282[c]	1 C00437[c] + 1 C00025[c] -> 1 C00077[c] + 1 C00624[c]
R09107[c]	1 C15532[c] + 1 C00001[c] <-> 1 C00033[c] + 1 C00327[c]
R01398[c]	1 C00169[c] + 1 C00077[c] <-> 1 C00009[c] + 1 C00327[c]
R02649[c]	1 C00002[c] + 1 C00624[c] -> 1 C00008[c] + 1 C04133[c]
R03443[c]	1 C04133[c] + 1 C00005[c] + 1 C00080[c] -> 1 C01250[c] + 1 C00009[c] + 1 C00006[c]
R02283[c]	1 C01250[c] + 1 C00025[c] -> 1 C00026[c] + 1 C00437[c]
R00005[c]	1 C01010[c] + 1 C00001[c] -> 2 C00011[c] + 2 C00014[c]
R00258[c]	1 C00041[c] + 1 C00026[c] -> 1 C00022[c] + 1 C00025[c]
#propanoate metabolism
R00926[c]	1 C05983[c] + 1 C00010[c] -> 1 C00020[c] + 1 C00100[c]
R03158[c]	1 C01013[c] + 1 C00010[c] <-> 1 C05668[c] + 1 C00001[c]
R03045[c]	1 C05668[c] <-> 1 C00894[c] + 1 C00001[c]
#n-clycan biosynthesis
R01004[c]	1 C00621[c] + 1 C00001[c] <-> 1 C00110[c] + 1 C00009[c] + 1 C00080[c]
#microbial metabolism in diverse environments
R00479[c]	1 C00311[c] -> 1 C00048[c] + 1 C00042[c] 
R06848[c]	1 C12835[c] + 2 C00004[c] + 2 C00080[c] <-> 1 C12836[c] + 1 C01327[c] + 2 C00003[c]
R02988[c]	1 C00846[c] + 1 C00003[c] -> 1 C02222[c] + 1 C00004[c] + 1 C00080[c]
R05358[c]	1 C01998[c] + 2 C00001[c] <-> 1 C00511[c] + 1 C00014[c]
R05355[c]	1 C06329[c] + 1 C00004[c] <-> 1 C02222[c] + 1 C00003[c] + 1 C00698[c]
R09138[c]	1 C18243[c] + 2 C00005[c] + 2 C00080[c] -> 1 C18244[c] + 2 C00006[c] + 1 C01327[c]
R09223[c]	1 C18305[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C18306[c] + 1 C00003[c] + 1 C01327[c]
R09224[c]	1 C18306[c] + 1 C00004[c] + 1 C00080[c] <-> 1 C18307[c] + 1 C00003[c]
R09137[c]	1 C18243[c] + 2 C00004[c] + 2 C00080[c] -> 1 C18244[c] + 2 C00003[c] + 1 C01327[c]
R09099[c]	1 C00065[c] + 1 C01217[c] <-> 1 C04377[c] + 1 C00037[c] + 1 C00001[c]
R01067[c]	1 C00085[c] + 1 C00118[c] <-> 1 C00279[c] + 1 C00231[c]
R00756[c]	1 C00002[c] + 1 C00085[c] -> 1 C00008[c] + 1 C00354[c]
R00527[c]	1 C01031[c] + 1 C00001[c] -> 1 C00058[c] + 1 C00051[c]
R01068[c]	1 C00111[c] + 1 C00118[c] -> 1 C00354[c]
R00267[c]	1 C00311[c] + 1 C00006[c] -> 1 C00026[c] + 1 C00011[c] + 1 C00005[c] + 1 C00080[c]
R01224[c]	1 C00143[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00440[c] + 1 C00006[c] 
R01440[c]	1 C00231[c] + 1 C00067[c] -> 1 C00118[c] + 1 C00184[c]
R01708[c]	1 C00314[c] + 1 C00006[c] <-> 1 C00250[c] + 1 C00005[c] + 1 C00080[c]
R01710[c]	1 C00534[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C00250[c] + 1 C00014[c] + 1 C00027[c]
R01711[c]	1 C00314[c] + 1 C00007[c] -> 1 C00250[c] + 1 C00027[c]
R03893[c]	1 C04431[c] + 1 C00001[c] <-> 1 C02222[c]
R03997[c]	1 C02625[c] + 1 C00007[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C02933[c] + 1 C00006[c] + 1 C00001[c]
R05233[c]	1 C06611[c] + 1 C00003[c] <-> 1 C06613[c] + 1 C00004[c] + 1 C00080[c]
