#exchange reactions
R001ex	1 h2o[e] <->
KYN3OX1	1 Lkynr[c] + 1 o2[c] + 1 nadph[c] + 1 h[c] <-> 1 hLkynr[c] + 1 nadp[c] + 1 h2o[c]
3HAO1	1 3hanthrn[c] + 1 o2[c] <-> 1 cmusa[c]
HKYNH1	1 hLkynr[c] + 1 h2o[c] <-> 1 3hanthrn[c] + 1 ala__L[c]
R02670[c]	2 3hanthrn[c] + 4 o2[c] <-> 1 C05640[c] + 2 o2s[c] + 2 h2o2[c] + 2 h[c]
R03936[c]	1 Lfmkynr[c] + 1 h2o[c] <-> 1 C05653[c] + 1 ala__L[c]
PCLAD1	1 cmusa[c] <-> 1 am6sa[c] + 1 co2[c]
#Tyrosine metabolism
R01395[c]	1 atp[c] + 1 cbm[c] -> 1 adp[c] + 1 cbp[c]
DOPABMO1	1 dopa[c] + 1 ascb__L[c] + 1 o2[c] -> 1 nrpphr[c] + 1 dhdascb[c] + 1 h2o[c]
R04892[c]	1 C05583[c] + 1 nadp[c] + 1 h2o[c] -> 1 C05584[c] + 1 nadph[c] + 1 h[c]
R04894[c]	1 C05588[c] + 1 h2o[c] + 1 o2[c] -> 1 C05583[c] + 1 h2o2[c] + 1 mma[c]
R04893[c]	1 normete__L[c] + 1 h2o[c] + 1 o2[c] -> 1 C05583[c] + 1 nh4[c] + 1 h2o2[c]
R04891[c]	1 C05583[c] + 1 nad[c] + 1 h2o[c] -> 1 C05584[c] + 1 nadh[c] + 1 h[c]
R04882[c]	1 34dhmald[c] + 1 nad[c] + 1 h2o[c] <-> 1 C05580[c] + 1 nadh[c] + 1 h[c]
R02533[c]	1 amet[c] + 1 nrpphr[c] <-> 1 ahcys[c] + 1 C00788[c]
TYRCBOX1	1 tyr__L[c] <-> 1 tym[c] + 1 co2[c]
FUMAH1	1 fumpyr[c] + 1 h2o[c] -> 1 fum[c] + 1 pyr[c]
FUMAC1	1 4fumacac[c] + 1 h2o[c] -> 1 acac[c] + 1 fum[c]
R02080[c]	1 C00355[c] <-> 1 dopa[c] + 1 co2[c]
TYROXDApp1	1 tym[c] + 1 h2o[c] + 1 o2[c] <-> 1 4hoxpacd[c] + 1 nh4[c] + 1 h2o2[c]
HGNTOR1	1 hgentis[c] + 1 o2[c] <-> 1 4mlacac[c]
SALMCOM1	1 amet[c] + 1 nrpphr[c] <-> 1 ahcys[c] + 1 normete__L[c]
R02920[c]	1 amet[c] + 1 C00788[c] <-> 1 ahcys[c] + 1 C05588[c]
MAAIn1	1 4mlacac[c] <-> 1 4fumacac[c]
R03304[c]	1 amet[c] + 1 34dhpacet[c] <-> 1 ahcys[c] + 1 C05582[c]
R03868[c]	1 C02167[c] <-> 1 fumpyr[c]
42A12BOOX1	1 dopa[c] + 1 h2o[c] + 1 o2[c] -> 1 34dhpac[c] + 1 nh4[c] + 1 h2o2[c]
DOPAMT1	1 amet[c] + 1 dopa[c] <-> 1 ahcys[c] + 1 3moxtyr[c]
34DHOXPEGOX1	1 34dhoxpeg[c] + 1 nad[c] <-> 1 34dhmald[c] + 1 nadh[c] + 1 h[c]
R04881[c]	1 amet[c] + 1 34dhoxpeg[c] <-> 1 ahcys[c] + 1 C05594[c]
R04887[c]	1 amet[c] + 1 C05580[c] <-> 1 ahcys[c] + 1 C05584[c]
34HPPOR1	1 34hpp[c] + 1 o2[c] -> 1 hgentis[c] + 1 co2[c]
34DHPLACOX_NADP1	1 34dhpac[c] + 1 nadp[c] + 1 h2o[c] <-> 1 34dhpacet[c] + 1 nadph[c] + 1 h[c]
R04888[c]	1 3mox4hpac[c] + 1 nad[c] + 1 h2o[c] -> 1 C05582[c] + 1 nadh[c] + 1 h[c]
R04889[c]	1 3mox4hpac[c] + 1 nadp[c] + 1 h2o[c] -> 1 C05582[c] + 1 nadph[c] + 1 h[c]
3MOXTYROX1	1 3moxtyr[c] + 1 h2o[c] + 1 o2[c] -> 1 3mox4hpac[c] + 1 h2o2[c] + 1 nh4[c]
#Eumelanin synthesis
R02078[c]	1 tyr__L[c] + 1 o2[c] -> 1 C00822[c] + 1 h2o[c]
R00731[c]	1 tyr__L[c] + 1 o2[c] -> 1 C00355[c] + 1 h2o[c]
R00045[e]	1 o2[e] + 2 C00355[e] -> 2 C00822[e] + 2 h2o[e]
R02962[e]	1 C00822[e] -> 1 C05604[e]
R03672[e]	1 C05604[e] + 1 C00822[e] -> 1 C01693[e] + 1 C00355[e]
R03674[e]	1 C01693[e] -> 1 C05578[e] + 1 co2[e]
R04884[e]	2 C05578[e] + 1 o2[e] -> 2 C05579[e] + 2 h2o[e]
R04886[e]	1 C05579[e] + 1 o2[e] -> 1 C17937Eu[e] + 1 h2o[e]
#Pyomelanin synthesis
R902[c]	1 hgentis[c] + 0.5 o2[c] -> 1 X00002[c] + 1 h2o[c]
R903[e]	1 X00002[e] -> 1 C17937Pyo[e] + 1 h2o[e]
#Pentose and glucuronate interconversion
RBK_Dr1	1 atp[c] + 1 rbl__D[c] <-> 1 adp[c] + 1 ru5p__D[c]
R01542[c]	1 2ddglcn[c] + 1 nad[c] <-> 1 C04349[c] + 1 nadh[c] + 1 h[c]
XYLTD_D1	1 xylt[c] + 1 nad[c] <-> 1 xylu__D[c] + 1 nadh[c] + 1 h[c]
#Fructose and mannose metabolism
SBTD_D21	1 sbt__D[c] + 1 nad[c] <-> 1 fru[c] + 1 nadh[c] + 1 h[c]
PMANM1	1 man6p[c] <-> 1 man1p[c]
R00877[c]	1 gdpmann[c] -> 1 fru[c]
R01819[c]	1 man6p[c] <-> 1 f6p_B[c]
FCLPA1	1 fc1p[c] <-> 1 dhap[c] + 1 lald__L[c]
ALLPI1	1 all6p[c] <-> 1 allul6p[c]
R00887[c]	1 gdpmann[c] <-> 1 gdp[c] + 1 C00464[c]
MAN1PT1	1 man1p[c] + 1 gtp[c] -> 1 ppi[c] + 1 gdpmann[c]
#Heme Synthesis
UPP3S_11	1 hmbil[c] <-> 1 uppg3[c] + 1 h2o[c]
UPPDC21	1 uppg1[c] <-> 1 cpppg1[c] + 4 co2[c]
R03222[c]	1 pppg9[c] + 3 o2[c] <-> 1 ppp9[c] + 3 h2o2[c]
ALASm1	1 succoa[c] + 1 gly[c] -> 1 5aop[c] + 1 coa[c] + 1 co2[c]
CPPPGO1	1 cpppg3[c] + 1 o2[c] <-> 1 pppg9[c] + 2 co2[c] + 2 h2o[c]
HMBS1	4 ppbng[c] + 1 h2o[c] <-> 1 hmbil[c] + 4 nh4[c]
PPBNGS1	2 5aop[c] <-> 1 ppbng[c] + 2 h2o[c]
IDIh1	1 ipdp[c] -> 1 dmpp[c]
R02480[c]	1 cytc[c] <-> 1 apocytc[c] + 1 pheme[c]
DMATT1	1 dmpp[c] + 1 ipdp[c] -> 1 ppi[c] + 1 grdp[c]
GRTT1	1 grdp[c] + 1 ipdp[c] -> 1 ppi[c] + 1 frdp[c]
R07411[c]	1 pheme[c] + 1 h2o[c] + 1 frdp[c] -> 1 hemeO[c] + 1 ppi[c]
HEMEAS_11	1 hemeO[c] <-> 1 hemeA[c]
#Riboflavin metabolism
R09376[c]	1 25drapp[c] + 1 nadph[c] + 1 h[c] -> 1 C18910[c] + 1 nadp[c]
FADDP1	1 fad[c] + 1 h2o[c] <-> 1 amp[c] + 1 fmn[c]
ACP1_FMN1	1 fmn[c] + 1 h2o[c] -> 1 ribflv[c] + 1 pi[c]
RBFK1	1 atp[c] + 1 ribflv[c] -> 1 adp[c] + 1 fmn[c]
RBFSb1	2 dmlz[c] -> 1 ribflv[c] + 1 4r5au[c]
RBFSa1	1 4r5au[c] + 1 db4p[c] <-> 1 dmlz[c] + 2 h2o[c] + 1 pi[c]
DB4PS1	1 ru5p__D[c] -> 1 db4p[c] + 1 for[c]
R00425[c]	1 gtp[c] + 3 h2o[c] <-> 1 for[c] + 1 25drapp[c] + 1 ppi[c]
R03459[c]	1 25drapp[c] + 1 h2o[c] <-> 1 5apru[c] + 1 nh4[c]
AUNOR1	1 5aprbu[c] + 1 nadp[c] <-> 1 5apru[c] + 1 nadph[c] + 1 h[c]
PMDPHT1	1 5aprbu[c] + 1 h2o[c] <-> 1 4r5au[c] + 1 pi[c]
#Galactose Metabolism
UDPG4E1	1 udpg[c] <-> 1 udpgal[c]
SUCRe1	1 sucr[c] + 1 h2o[c] -> 1 fru[c] + 1 glc__D[c]
TGBPA1	1 tagdp__D[c] <-> 1 dhap[c] + 1 g3p[c]
PFK_21	1 tag6p__D[c] + 1 atp[c] -> 1 tagdp__D[c] + 1 adp[c]
R03237[c]	1 ctp[c] + 1 tag6p__D[c] -> 1 cdp[c] + 1 tagdp__D[c]
R03238[c]	1 utp[c] + 1 tag6p__D[c] -> 1 udp[c] + 1 tagdp__D[c]
GRGT1	1 1Dgali[c] + 1 raffin[c] <-> 1 inost[c] + 1 stys[c]
R05168[c]	1 acgal6p[c] + 1 h2o[c] <-> 1 galam6p[c] + 1 ac[c]
#Fatty acid biosynthesis
3OAR1201	1 3hddecACP[im] + 1 nadp[im] <-> 1 3oddecACP[im] + 1 nadph[im] + 1 h[im]
ACOAD1f1	1 btcoa[im] + 1 fad[im] <-> 1 fadh2[im] + 1 b2coa[im]
R04751[im]	1 C05270[im] + 1 fad[im] -> 1 hx2coa[im] + 1 fadh2[im]
R04754[im]	1 dccoa[im] + 1 fad[im] -> 1 dc2coa[im] + 1 fadh2[im]
ACOAD3f1	1 occoa[im] + 1 fad[im] -> 1 oc2coa[im] + 1 fadh2[im]
ACOA140OR1	1 tdcoa[im] + 1 fad[im] -> 1 td2coa[im] + 1 fadh2[im]
ACOAD7f1	1 pmtcoa[im] + 1 fad[im] -> 1 hdd2coa[im] + 1 fadh2[im]
FACOAL160p1	1 atp[im] + 1 hdca[im] + 1 coa[im] <-> 1 amp[im] + 1 pmtcoa[im] + 1 ppi[im]
ACOATA1	1 accoa[im] + 1 ACP[im] <-> 1 coa[im] + 1 acACP[im]
MCOATA1	1 malcoa[im] + 1 ACP[im] <-> 1 coa[im] + 1 malACP[im]
3HAD120_11	1 3hddecACP[im] <-> 1 tddec2eACP[im] + 1 h2o[im]
R04967[im]	1 C05761[im] + 1 nadp[im] <-> 1 tmrs2eACP[im] + 1 nadph[im] + 1 h[im]
R04968[im]	1 C05761[im] + 1 malACP[im] <-> 1 3opalmACP[im] + 1 co2[im] + 1 ACP[im]
R04970[im]	1 C05764[im] + 1 nadp[im] <-> 1 tpalm2eACP[im] + 1 nadph[im] + 1 h[im]
3OAR60_11	1 3hhexACP[im] + 1 nadp[im] <-> 1 3ohexACP[im] + 1 nadph[im] + 1 h[im]
3HAD60_11	1 3hhexACP[im] <-> 1 thex2eACP[im] + 1 h2o[im]
R04956[im]	1 C05749[im] + 1 nadp[im] <-> 1 thex2eACP[im] + 1 nadph[im] + 1 h[im]
R04957[im]	1 C05749[im] + 1 malACP[im] <-> 1 3ooctACP[im] + 1 co2[im] + 1 ACP[im]
R04959[im]	1 C05752[im] + 1 nadp[im] <-> 1 toct2eACP[im] + 1 nadph[im] + 1 h[im]
R04960[im]	1 C05752[im] + 1 malACP[im] <-> 1 3odecACP[im] + 1 co2[im] + 1 ACP[im]
R04962[im]	1 C05755[im] + 1 nadp[im] <-> 1 tdec2eACP[im] + 1 nadph[im] + 1 h[im]
R04963[im]	1 C05755[im] + 1 malACP[im] <-> 1 3oddecACP[im] + 1 co2[im] + 1 ACP[im]
R04725[im]	1 C05223[im] + 1 nadp[im] <-> 1 tddec2eACP[im] + 1 nadph[im] + 1 h[im]
R04726[im]	1 C05223[im] + 1 malACP[im] <-> 1 3omrsACP[im] + 1 co2[im] + 1 ACP[im]
R04952[im]	1 C05745[im] + 1 malACP[im] <-> 1 3ohexACP[im] + 1 co2[im] + 1 ACP[im]
3HAD40_11	1 3hbutACP[im] <-> 1 but2eACP[im] + 1 h2o[im]
R04430[im]	1 C05745[im] + 1 nadp[im] <-> 1 but2eACP[im] + 1 nadph[im] + 1 h[im]
3OAR40_11	1 3hbutACP[im] + 1 nadp[im] <-> 1 actACP[im] + 1 nadph[im] + 1 h[im]
3OAR100_11	1 3hdecACP[im] + 1 nadp[im] <-> 1 h[im] + 1 3odecACP[im] + 1 nadph[im]
3HAD1001	1 3hdecACP[im] <-> 1 tdec2eACP[im] + 1 h2o[im]
3OAR801	1 3hoctACP[im] + 1 nadp[im] <-> 1 3ooctACP[im] + 1 nadph[im] + 1 h[im]
3HAD801	1 3hoctACP[im] <-> 1 toct2eACP[im] + 1 h2o[im]
3OAR1601	1 3hpalmACP[im] + 1 nadp[im] <-> 1 3opalmACP[im] + 1 nadph[im] + 1 h[im]
3HAD1601	1 3hpalmACP[im] <-> 1 tpalm2eACP[im] + 1 h2o[im]
3OAR1401	1 3hmrsACP[im] + 1 nadp[im] <-> 1 3omrsACP[im] + 1 nadph[im] + 1 h[im]
3HAD1401	1 3hmrsACP[im] <-> 1 tmrs2eACP[im] + 1 h2o[im]
KAS14_11	1 acACP[im] + 1 malACP[im] <-> 1 actACP[im] + 1 co2[im] + 1 ACP[im]
ACCOACrm1	1 atp[im] + 1 accoa[im] + 1 hco3[im] <-> 1 adp[im] + 1 pi[im] + 1 malcoa[im]
R01706[im]	1 C05764[im] + 1 h2o[im] <-> 1 ACP[im] + 1 hdca[im]
R07762[im]	1 C05764[im] + 1 malACP[im] <-> 1 C16219[im] + 1 ACP[im] + 1 co2[im]
R07763[im]	1 C16219[im] + 1 nadph[im] + 1 h[im] <-> 1 3hoctaACP[im] + 1 nadp[im]
3HAD1801	1 3hoctaACP[im] <-> 1 toctd2eACP[im] + 1 h2o[im]
R07765[im]	1 toctd2eACP[im] + 1 nadh[im] + 1 h[im] <-> 1 C04088[im] + 1 nad[im]
R03370[im]	1 C04088[im] + 2 fdxrd[im] + 1 o2[im] + 2 h[im] <-> 1 C01203[im] + 2 fdxox[im] + 2 h2o[im]
R08163[im]	1 C04088[im] + 1 h2o[im] <-> 1 ACP[im] + 1 ocdca[im]
R02814[im]	1 C01203[im] + 1 h2o[im] <-> 1 ACP[im] + 1 ocdcea[im]
#Fatty acid elongation
R02685[c]	1 3hacoa[c] <-> 1 C00658[c] + 1 h2o[c]
ECOAH5_11	1 3hddcoa[c] <-> 1 dd2coa[c] + 1 h2o[c]
ECOAH7p1	1 3hhdcoa[c] <-> 1 hdd2coa[c] + 1 h2o[c]
ECOAH61	1 3htdcoa[c] <-> 1 td2coa[c] + 1 h2o[c]
ECOAH41	1 3hdcoa[c] <-> 1 dc2coa[c] + 1 h2o[c]
ECOAH3_11	1 3hocoa[c] <-> 1 oc2coa[c] + 1 h2o[c]
ECOAH21	1 3hhcoa[c] <-> 1 hx2coa[c] + 1 h2o[c]
R10825[c]	1 C20876[c] + 1 malcoa[c] <-> 1 C20877[c] + 1 co2[c] + 1 coa[c]
R10826[c]	1 C20878[c] + 1 nadp[c] <-> 1 C20877[c] + 1 nadph[c] + 1 h[c]
R10827[c]	1 C20878[c] <-> 1 C20879[c] + 1 h2o[c]
KATp1	2 accoa[im] <-> 1 coa[im] + 1 3oacoa[im]
ACACT2r1	1 coa[im] + 1 3ohcoa[im] -> 1 accoa[im] + 1 btcoa[im]
FACOAE1601	1 pmtcoa[im] + 1 h2o[im] -> 1 coa[im] + 1 hdca[im]
ACACT4r1	1 occoa[im] + 1 accoa[im] <-> 1 coa[im] + 1 3odcoa[im]
ACACT6p1	1 ddcacoa[im] + 1 accoa[im] <-> 1 coa[im] + 1 3otdcoa[im]
ACACT7p1	1 tdcoa[im] + 1 accoa[im] <-> 1 coa[im] + 1 3ohdcoa[im]
ACACT5r_11	1 dccoa[im] + 1 accoa[im] <-> 1 coa[im] + 1 3oddcoa[im]
R04747[im]	1 C05270[im] + 1 accoa[im] <-> 1 coa[im] + 1 3oocoa[im]
R09450[im]	1 C02843[im] + 1 h2o[im] <-> 1 C00638[im] + 1 coa[im]
HACD2i1	1 3hhcoa[im] + 1 nad[im] <-> 1 3ohcoa[im] + 1 nadh[im] + 1 h[im]
HACD31	1 3hocoa[im] + 1 nad[im] <-> 1 3oocoa[im] + 1 nadh[im] + 1 h[im]
HACD41	1 3hdcoa[im] + 1 nad[im] <-> 1 3odcoa[im] + 1 nadh[im] + 1 h[im]
HACD51	1 3hddcoa[im] + 1 nad[im] <-> 1 3oddcoa[im] + 1 nadh[im] + 1 h[im]
ECOAH21	1 3hhcoa[im] <-> 1 hx2coa[im] + 1 h2o[im]
ECOAH3_11	1 3hocoa[im] <-> 1 oc2coa[im] + 1 h2o[im]
ECOAH41	1 3hdcoa[im] <-> 1 dc2coa[im] + 1 h2o[im]
ECOAH5_11	1 3hddcoa[im] <-> 1 dd2coa[im] + 1 h2o[im]
ECOAH61	1 3htdcoa[im] <-> 1 td2coa[im] + 1 h2o[im]
ECOAH7p1	1 3hhdcoa[im] <-> 1 hdd2coa[im] + 1 h2o[im]
R06985[im]	1 hx2coa[im] + 1 nadph[im] + 1 h[im] <-> 1 C05270[im] + 1 nadp[im]
ACOAR3m1	1 occoa[im] + 1 nadp[im] <-> 1 oc2coa[im] + 1 nadph[im] + 1 h[im]
R04753[im]	1 dccoa[im] + 1 nadp[im] <-> 1 dc2coa[im] + 1 nadph[im] + 1 h[im]
ACOAR5m1	1 ddcacoa[im] + 1 nadp[im] <-> 1 dd2coa[im] + 1 nadph[im] + 1 h[im]
ACOAR6m1	1 tdcoa[im] + 1 nadp[im] <-> 1 td2coa[im] + 1 nadph[im] + 1 h[im]
ACOAR7m1	1 pmtcoa[im] + 1 nadp[im] <-> 1 hdd2coa[im] + 1 nadph[im] + 1 h[im]
#Fatty acid degredation
R00623[c]	1 C00226[c] + 1 nad[c] <-> 1 C00071[c] + 1 nadh[c] + 1 h[c]
R04756[c]	1 C05280[c] <-> 1 C05279[c]
ACACT1x1	2 accoa[im] <- 1 coa[im] + 1 aacoa[im]
R04121[im]	3 h[im] + 1 C03024[im] + 1 C00162[im] + 1 o2[im] <-> 1 C05102[im] + 1 C03161[im] + 1 h2o[im]
R04756[im]	1 C05280[im] <-> 1 C05279[im]
HACD71	1 3hhdcoa[im] + 1 nad[im] <-> 1 3ohdcoa[im] + 1 nadh[im] + 1 h[im]
HACD6i1	1 3htdcoa[im] + 1 nad[im] <-> 1 3otdcoa[im] + 1 nadh[im]
HACD1i1	1 3hbcoa[im] + 1 nad[im] <-> 1 aacoa[im] + 1 nadh[im] + 1 h[im]
#fixed this reaction direction after having fixed the use of generic acceptors (C00028/C00030)
ACOAD5f1	1 ddcacoa[im] + 1 fad[im] -> 1 dd2coa[im] + 1 fadh2[im]
#Fatty acid metabolism
COA1819ZD9DS1	1 strcoa[c] + 2 focytb5[c] + 1 o2[c] + 2 h[c] <-> 1 ocdce9coa[c] + 2 ficytb5[c] + 2 h2o[c]
#Glyoxylate and dicarboxylate metabolism
R01221[c]	1 gly[c] + 1 thf[c] + 1 nad[c] -> 1 mlthf[c] + 1 nh4[c] + 1 co2[c] + 1 nadh[c] + 1 h[c]
HOXPRx1	1 2h3oppan[c] + 1 nadh[c] + 1 h[c] -> 1 glyc__R[c] + 1 nad[c]
CAT1	2 h2o2[c] -> 1 o2[c] + 2 h2o[c]
MALS1	1 accoa[c] + 1 h2o[c] + 1 glx[c] -> 1 mal__L[c] + 1 coa[c]
FDH1	1 for[c] + 1 nad[c] -> 1 h[c] + 1 co2[c] + 1 nadh[c]
PGLYCP1	1 2pglyc[c] + 1 h2o[c] -> 1 glyclt[c] + 1 pi[c]
R01747[c]	1 2h3oppan[c] + 1 nadph[c] + 1 h[c] -> 1 glyc__R[c] + 1 nadp[c]
#CoA biosynthesis
DPCOAK1	1 atp[c] + 1 dpcoa[c] -> 1 adp[c] + 1 coa[c] + 1 h[c]
R01209[c]	1 C04039[c] <-> 1 3mob[c] + 1 h2o[c]
R03051[c]	1 C00900[c] + 1 nadph[c] + 1 h[c] -> 1 C04039[c] + 1 nadp[c]
R00006[c]	2 pyr[c] -> 1 C00900[c] + 1 co2[c]
ASP1DC1	1 asp__L[c] -> 1 ala_B[c] + 1 co2[c]
DPR1	1 pant__R[c] + 1 nadp[c] <-> 1 2dhp[c] + 1 nadph[c] + 1 h[c]
DPCOAPP1	1 dpcoa[c] + 1 h2o[c] <-> 1 pan4p[c] + 1 amp[c]
PPCDC1	1 4ppcys[c] -> 1 pan4p[c] + 1 co2[c]
PPNCL31	1 atp[c] + 1 4ppan[c] + 1 cys__L[c] -> 1 amp[c] + 1 ppi[c] + 1 4ppcys[c]
PPNCL21	1 ctp[c] + 1 4ppan[c] + 1 cys__L[c] -> 1 cmp[c] + 1 ppi[c] + 1 4ppcys[c]
PANTS1	1 atp[c] + 1 pant__R[c] + 1 ala_B[c] -> 1 amp[c] + 1 ppi[c] + 1 pnto__R[c]
R01226[c]	1 mlthf[c] + 1 3mob[c] + 1 h2o[c] -> 1 thf[c] + 1 2dhp[c]
#Nicotinate and nicotinamide mtabolism
NADDPp1	1 nad[c] + 1 h2o[c] -> 1 amp[c] + 1 nmn[c] + 1 h[c]
DNADDP1	1 dnad[c] + 1 h2o[c] -> 1 amp[c] + 1 nicrnt[c]
NMNAT1	1 h[c] + 1 atp[c] + 1 nmn[c] -> 1 ppi[c] + 1 nad[c]
NAMNPP1	1 nicrnt[c] + 1 ppi[c] + 1 adp[c] + 1 pi[c] <-> 1 nac[c] + 1 prpp[c] + 1 atp[c] + 1 h2o[c] + 1 h[c]
NNATr1	1 atp[c] + 1 nicrnt[c] -> 1 ppi[c] + 1 dnad[c]
NNDPRm1	1 nicrnt[c] + 1 ppi[c] + 1 co2[c] <-> 1 h[c] + 1 quln[c] + 1 prpp[c]
#Pyruvate metabolism
R00196[c]	1 lac__L[c] + 2 ficytC[c] -> 1 pyr[c] + 2 focytcc553[c] + 2 h[c]
ACCOACrm1	1 atp[c] + 1 accoa[c] + 1 hco3[c] <-> 1 adp[c] + 1 pi[c] + 1 malcoa[c]
r00681	1 HC01672[c] + 1 coa[c] -> 1 amp[c] + 1 accoa[c]
ACKrh1	1 atp[c] + 1 ac[c] -> 1 adp[c] + 1 actp[c]
r00971	1 atp[c] + 1 ac[c] <-> 1 ppi[c] + 1 HC01672[c]
R00320[c]	1 ppi[c] + 1 ac[c] <-> 1 pi[c] + 1 actp[c]
MDHy1	1 mal__L[c] + 1 nadp[c] -> 1 oaa[c] + 1 nadph[c] + 1 h[c]
R00928[c]	1 accoa[c] + 1 C00163[c] <-> 1 ac[c] + 1 ppcoa[c]
DMALRED1	1 mal__L[c] + 1 fad[c] <-> 1 oaa[c] + 1 fadh2[c]
R01447[c]	1 lac__L[c] + 1 oaa[c] <-> 1 mal__L[c] + 1 pyr[c]
LacR1	1 lac__L[c] <-> 1 lac__D[c]
GLYOX1	1 lgt__S[c] + 1 h2o[c] -> 1 gthrd[c] + 1 lac__D[c]
LGTHL1	1 lgt__S[c] <-> 1 gthrd[c] + 1 mthgxl[c]
R10866[c]	1 pyr[c] + 1 coa[c] + 1 fldox[c] <-> 1 accoa[c] + 1 co2[c] + 1 fldrd[c]
R00197[im]	1 lac__D[im] + 2 ficytC[im] -> 1 pyr[im] + 2 focytcc553[im] + 2 h[im]
ALDD2x1	1 acald[im] + 1 nad[im] + 1 h2o[im] <-> 1 ac[im] + 1 nadh[im] + 1 h[im]
R00198[im]	1 lac__D[im] + 2 C01070[im] <-> 1 pyr[im] + 2 C01071[im] + 2 h[im]
R00211[im]	1 pyr[im] + 1 coa[im] + 1 o2[im] <-> 1 h2o2[im] + 1 accoa[im] + 1 co2[im]
R00229[im]	1 atp[im] + 1 ac[im] + 1 coa[im] -> 1 adp[im] + 1 accoa[im] + 1 pi[im]
r00681	1 HC01672[im] + 1 coa[im] -> 1 amp[im] + 1 accoa[im]
r00971	1 atp[im] + 1 ac[im] <-> 1 ppi[im] + 1 HC01672[im]
ACYP_21	1 actp[im] + 1 h2o[im] -> 1 ac[im] + 1 pi[im]
LO1	1 lac__L[im] + 1 o2[im] -> 1 ac[im] + 1 co2[im] + 1 h2o[im]
MDHm1	1 mal__L[im] + 1 nad[im] <-> 1 oaa[im] + 1 nadh[im] + 1 h[im]
R00346[im]	1 ppi[im] + 1 oaa[im] <-> 1 pi[im] + 1 pep[im] + 1 co2[im]
#Arginine biosynthesis
ACODA1	1 acorn[c] + 1 h2o[c] -> 1 ac[c] + 1 orn[c]
UREASE1	1 atp[c] + 1 urea[c] + 1 hco3[c] -> 1 adp[c] + 1 pi[c] + 1 allphn[c]
ACGS1	1 accoa[c] + 1 glu__L[c] -> 1 coa[c] + 1 acglu[c]
ORNTAC1	1 acorn[c] + 1 glu__L[c] -> 1 orn[c] + 1 acglu[c]
R09107[c]	1 C15532[c] + 1 h2o[c] <-> 1 ac[c] + 1 citr__L[c]
OCBTm1	1 cbp[c] + 1 orn[c] <-> 1 pi[c] + 1 citr__L[c]
ACGK1	1 atp[c] + 1 acglu[c] -> 1 adp[c] + 1 acg5p[c]
AGPRim1	1 acg5p[c] + 1 nadph[c] + 1 h[c] -> 1 acg5sa[c] + 1 pi[c] + 1 nadp[c]
ACOTA1	1 acg5sa[c] + 1 glu__L[c] -> 1 akg[c] + 1 acorn[c]
ALPHNH1	1 allphn[c] + 1 h2o[c] -> 2 co2[c] + 2 nh4[c]
ALATA_L1	1 ala__L[c] + 1 akg[c] -> 1 pyr[c] + 1 glu__L[c]
#propanoate metabolism
R00926[c]	1 C05983[c] + 1 coa[c] -> 1 amp[c] + 1 ppcoa[c]
3HPCOAHYD1	1 3hpp[c] + 1 coa[c] <-> 1 3hpcoa[c] + 1 h2o[c]
PRPNCOAHYDm1	1 3hpcoa[c] <-> 1 prpncoa[c] + 1 h2o[c]
#n-clycan biosynthesis
R01004[c]	1 doldp[c] + 1 h2o[c] <-> 1 C00110[c] + 1 pi[c] + 1 h[c]
#microbial metabolism in diverse environments
ICL1	1 icit[c] -> 1 glx[c] + 1 succ[c]
R06848[c]	1 C12835[c] + 2 nadh[c] + 2 h[c] <-> 1 C12836[c] + 1 C01327[c] + 2 nad[c]
R02988[c]	1 3oxoadp[c] + 1 nad[c] -> 1 C02222[c] + 1 nadh[c] + 1 h[c]
R05358[c]	1 C01998[c] + 2 h2o[c] <-> 1 acryl[c] + 1 nh4[c]
R05355[c]	1 C06329[c] + 1 nadh[c] <-> 1 C02222[c] + 1 nad[c] + 1 cl[c]
R09138[c]	1 C18243[c] + 2 nadph[c] + 2 h[c] -> 1 C18244[c] + 2 nadp[c] + 1 C01327[c]
R09223[c]	1 C18305[c] + 1 nadh[c] + 1 h[c] <-> 1 C18306[c] + 1 nad[c] + 1 C01327[c]
R09224[c]	1 C18306[c] + 1 nadh[c] + 1 h[c] <-> 1 C18307[c] + 1 nad[c]
R09137[c]	1 C18243[c] + 2 nadh[c] + 2 h[c] -> 1 C18244[c] + 2 nad[c] + 1 C01327[c]
R09099[c]	1 ser__L[c] + 1 h4mpt[c] <-> 1 C04377[c] + 1 gly[c] + 1 h2o[c]
R01067[c]	1 C00085[c] + 1 g3p[c] <-> 1 e4p[c] + 1 xu5p__D[c]
R00756[c]	1 atp[c] + 1 C00085[c] -> 1 adp[c] + 1 fdp[c]
SFGTHi1	1 Sfglutth[c] + 1 h2o[c] -> 1 for[c] + 1 gthrd[c]
FBA1	1 dhap[c] + 1 g3p[c] -> 1 fdp[c]
ICDHym1	1 icit[c] + 1 nadp[c] -> 1 akg[c] + 1 co2[c] + 1 nadph[c] + 1 h[c]
R01224[c]	1 mlthf[c] + 1 nadph[c] + 1 h[c] -> 1 5mthf[c] + 1 nadp[c]
R01440[c]	1 xu5p__D[c] + 1 fald[c] -> 1 g3p[c] + 1 dha[c]
PYDXOR1	1 pydxn[c] + 1 nadp[c] <-> 1 pydx[c] + 1 nadph[c] + 1 h[c]
