#exchange reactions
R001ex	1 h2o[e] <->
ACGAM6PS1	1 accoa[c] + 1 gam6p[c] <-> 1 coa[c] + 1 acgam6p[c]
AGDC1	1 acgam6p[c] + 1 h2o[c] -> 1 gam6p[c] + 1 ac[c]
R09009[c]	1 udparab[c] <-> 1 C18094[c]
R03078[c]	1 C18094[c] -> 1 C02474[c] + 1 udp[c]
R01762[c]	1 C02474[c] + 1 h2o[c] -> 1 C00259[c]
UDPGALOR1	1 udpgal[c] + 2 nad[c] + 1 h2o[c] -> 1 udpgalur[c] + 2 nadh[c] + 2 h[c]
R02636[c]	1 udpgalur[c] -> 1 udparab[c] + 1 co2[c]
#Unsaturated fatty acid synthesis
R07937[im]	1 C16169[im] + 1 accoa[im] <-> 1 coa[im] + 1 C16376[im]
R11043[im]	1 ocdce9coa[im] + 2 focytb5[im] + 1 o2[im] + 2 h[im] <-> 1 lnlccoa[im] + 2 ficytb5[im] + 2 h2o[im]
R08176[im]	1 ocdce9coa[im] + 1 h2o[im] <-> 1 coa[im] + 1 ocdcea[im]
FACOAE1801	1 strcoa[im] + 1 h2o[im] <-> 1 coa[im] + 1 ocdca[im]
R02224[im]	1 strcoa[im] + 1 malcoa[im] + 2 nadph[im] + 2 h[im] <-> 1 C02041[im] + 1 co2[im] + 2 nadp[im] + 1 coa[im] + 1 h2o[im]
COA1819ZD9DS1	1 od2coa[im] + 1 nadph[im] + 1 h[im] <-> 1 strcoa[im] + 1 nadp[im]
R08175[im]	1 C02041[im] + 1 h2o[im] <-> 1 coa[im] + 1 arach[im]
FACOAE1829Z12Z1	1 lnlccoa[im] + 1 h2o[im] <-> 1 coa[im] + 1 lnlc[im]
R08180[im]	1 C16169[im] + 1 h2o[im] <-> 1 coa[im] + 1 C06429[im]
#Unsaturated fatty acid synthesis
3OACOAS1	1 malcoa[c] + 1 pmtcoa[c] <-> 1 3ohodcoa[c] + 1 coa[c] + 1 co2[c]
RE0581R1	1 3ohodcoa[c] + 1 nadph[c] + 1 h[c] <-> 1 CE2248[c] + 1 nadp[c]
RE0582N1	1 CE2248[c] <-> 1 od2coa[c] + 1 h2o[c]
R07766[c]	1 C05752[c] + 1 C16240[c] -> 1 C16236[c] + 1 ACP[c]
#Triglycerol synthesis
R02687[c]	1 C00641[c] + 1 h2o[c] -> 1 C01885[c] + 1 C00162[c]
R01001[c]	1 cyst__L[c] + 1 h2o[c] -> 1 cys__L[c] + 1 nh4[c] + 1 2obut[c]
R05209[c]	1 dag_hs[c] + 1 h2o[c] <-> 1 C01885[c] + 1 Rtotal[c]
R01369[c]	1 tag_cho[c] + 1 h2o[c] -> 1 h[c] + 1 dag_hs[c] + 1 Rtotal[c]
R02688[c]	1 C00641[c] + 1 h2o[c] <-> 1 C02112[c] + 1 C00162[c]
R02694[c]	1 C00605[c] + 1 C00641[c] <-> 1 coa[c] + 1 tag_cho[c]
R02760[c]	1 C00605[c] + 1 1ag3p_SC[c] <-> 1 coa[c] + 1 pa_EC[c]
R03332[c]	1 pail_cho[c] + 1 h2o[c] <-> 1 mi1p__D[c] + 1 C00641[c]
R03435[c]	1 pail45p_cho[c] + 1 h2o[c] <-> 1 C01245[c] + 1 C00641[c]
R04404[c]	1 pail45p_cho[c] + 1 h2o[c] -> 1 pail4p_cho[c] + 1 pi[c]
R10952[c]	1 pail4p_cho[c] + 1 h2o[c] <-> 1 C01220[c] + 1 C00641[c]
R03394[c]	1 C01245[c] + 1 h2o[c] -> 1 C01220[c] + 1 pi[c]
R05800[c]	1 atp[c] + 1 C01245[c] -> 1 adp[c] + 1 C11555[c]
R05801[c]	1 atp[c] + 1 C11555[c] -> 1 adp[c] + 1 C01284[c]
R10065[c]	2 atp[c] + 1 C01245[c] -> 2 adp[c] + 1 C01284[c]
R01309[c]	1 pchol_cho[c] + 2 h2o[c] + 1 h[c] <-> 1 g3pc[c] + 2 C00162[c]
R07291[c]	1 C04230[c] + 1 h2o[c] <-> 1 g3pc[c] + 1 Rtotal[c]
R02744[c]	1 h[c] + 1 g3pc[c] + 1 Rtotal[c] -> 1 C04233[c] + 1 h2o[c]
#Glycerolipid synthesis
r03931	1 glyald[c] + 1 nad[c] + 1 h2o[c] <-> 1 glyc__R[c] + 1 nadh[c] + 1 h[c]
ALCD19y1	1 glyc[c] + 1 nadp[c] <-> 1 glyald[c] + 1 nadph[c] + 1 h[c]
GLYCDx1	1 glyc[c] + 1 nad[c] <-> 1 dha[c] + 1 nadh[c] + 1 h[c]
DHAK1	1 atp[c] + 1 dha[c] -> 1 adp[c] + 1 dhap[c]
GLYK1	1 atp[c] + 1 glyc[c] -> 1 adp[c] + 1 glyc3p[c]
R09419[c]	1 3oacoa[c] + 1 coa[c] + 1 co2[c] -> 1 malcoa[c] + 1 accoa[c]
R00851[c]	1 glyc3p[c] + 1 accoa[c] -> 1 1ag3p_SC[c] + 1 coa[c]
R02241[c]	1 1ag3p_SC[c] + 1 accoa[c] -> 1 pa_EC[c] + 1 coa[c]
R02239[c]	1 pa_EC[c] + 1 h2o[c] <-> 1 C00641[c] + 1 pi[c]
R05333[c]	1 C00865[c] + 1 C00641[c] <-> 1 C06254[c] + 1 tag_cho[c]
R04470[c]	1 C06037[c] + 1 h2o[c] <-> 1 C03692[c] + 1 gal[c]
R04471[c]	1 C03692[c] + 2 h2o[c] <-> 1 HC01444[c] + 2 C00162[c]
#Glycerophospholipid synthesis
R03756[c]	1 C00605[c] + 1 C01885[c] <-> 1 coa[c] + 1 C00641[c]
R00538[c]	1 C00071[c] + 1 nad[c] + 1 h2o[c] <-> 1 Rtotal[c] + 1 nadh[c] + 1 h[c]
G3PT1	1 glyc3p[c] + 1 h2o[c] -> 1 glyc[c] + 1 pi[c]
G3PDm1	1 glyc3p[c] + 1 fad[c] -> 1 dhap[c] + 1 fadh2[c]
CHOLK1	1 atp[c] + 1 chol[c] -> 1 adp[c] + 1 cholp[c]
R01310[c]	1 pchol_cho[c] + 1 h2o[c] <-> 1 pa_EC[c] + 1 chol[c]
RE3511C1	1 amet[c] + 1 ptd2meeta_SC[c] -> 1 ahcys[c] + 1 pchol_cho[c]
R01799[c]	1 ctp[c] + 1 pa_EC[c] -> 1 ppi[c] + 1 cdpdag_cho[c]
R01801[c]	1 cdpdag_cho[c] + 1 glyc3p[c] <-> 1 cmp[c] + 1 pgp_EC[c]
CDIPTr_cho1	1 cdpdag_cho[c] + 1 inost[c] <-> 1 cmp[c] + 1 pail_cho[c]
CHLPCTD1	1 ctp[c] + 1 cholp[c] <-> 1 h[c] + 1 ppi[c] + 1 cdpchol[c]
R02055[c]	1 ps_cho[c] <-> 1 pe_hs[c] + 1 co2[c]
R02056[c]	1 amet[c] + 1 pe_hs[c] <-> 1 ahcys[c] + 1 C01241[c]
R02746[c]	1 C04230[c] + 1 h2o[c] -> 1 g3pc[c] + 1 C00162[c]
R02747[c]	1 C04233[c] + 1 h2o[c] <-> 1 g3pc[c] + 1 C00162[c]
R02756[c]	1 1ag3p_SC[c] + 1 nadp[c] <-> 1 adhap_hs[c] + 1 nadph[c] + 1 h[c]
R03416[c]	1 C04438[c] + 1 h2o[c] <-> 1 C00162[c] + 1 g3pe[c]
R03417[c]	1 C05973[c] + 1 h2o[c] <-> 1 C00162[c] + 1 g3pe[c]
RE0066C1	1 amet[c] + 1 C01241[c] <-> 1 ahcys[c] + 1 ptd2meeta_SC[c]
#Lysine Biosynthesis
R00271[c]	1 akg[c] + 1 accoa[c] + 1 h2o[c] -> 1 coa[c] + 1 h[c] + 1 C01251[c]
R03444[c]	1 C01251[c] <-> 1 hacon_C[c] + 1 h2o[c]
HACNHm1	1 hicit[c] <-> 1 hacon_C[c] + 1 h2o[c]
R01934[c]	1 hicit[c] + 1 nad[c] <-> 1 2oxoadp[c] + 1 co2[c] + 1 nadh[c] + 1 h[c]
R03098[c]	1 L2aadp[c] + 1 atp[c] <-> 1 C05560[c] + 1 ppi[c]
R04863[c]	1 C05560[c] + 1 C11482[c] -> 1 C05535[c] + 1 amp[c]
R04390[c]	1 C05535[c] + 1 nadph[c] + 1 h[c] -> 1 L2aadp6sa[c] + 1 C11482[c] + 1 nadp[c]
#Valine, Leucine, and Isoleucine biosynthesis
R00226[c]	2 pyr[c] -> 1 alac__S[c] + 1 co2[c]
R00994[c]	1 r3mmal[c] + 1 nad[c] -> 1 2obut[c] + 1 co2[c] + 1 nadh[c] + 1 h[c]
LLEUDr1	1 4mop[c] + 1 nh4[c] + 1 nadh[c] + 1 h[c] -> 1 leu__L[c] + 1 h2o[c] + 1 nad[c]
LEUTAi1	1 4mop[c] + 1 glu__L[c] -> 1 leu__L[c] + 1 akg[c]
IPPS1	1 accoa[c] + 1 3mob[c] + 1 h2o[c] -> 1 3c3hmp[c] + 1 coa[c]
VALTA1	1 val__L[c] + 1 akg[c] <-> 1 3mob[c] + 1 glu__L[c]
OMCDC1	1 4mop[c] + 1 co2[c] -> 1 3c4mop[c]
